"C00001","O"
"C04488","c12c(N([C@H]([C@@H](N1)C)[C@H](Nc1ccc(cc1)C[C@@H]([C@@H]([C@@H](CO[C@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O[C@@H](CCC(=O)O)C(=O)O)O)O)O)O)C)C)c(=O)[nH]c(n2)N"
"C04494","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)OP(=O)(OP(=O)(O)O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)c2c(nc1)c(=O)[nH]c(n2)N"
"C04498","C(CCCNC(=N)N)NC(=O)/C=C/c1ccc(cc1)O"
"C04501","[C@@H]1([C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)OP(=O)(O)O)NC(=O)C"
"C04506","N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CSC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)*)*"
"C04517","O(P(=O)(OC[C@@H](CO/C=C\*)O)O)CC[N+](C)(C)C"
"C04518","[C@H]12[C@H]3[C@@]([C@](CC3)([C@H](C)O)O)(CC[C@@H]1[C@@]1(C(=CC(=O)CC1)CC2)C)C"
"C04520","P(=O)(O[C@H]1[C@@H]([C@H]([C@H]([C@H]([C@@H]1OP(=O)(O)O)O)O)OP(=O)(O)O)OP(=O)(O)O)(O)O"
"C04522","C1(=O)C=C[C@@](O1)(CC(=O)O)Cl"
"C04525","[C@H]12C3=C([C@@]4([C@@H](CC3)C[C@H](CC4)O)C)CC[C@@]1([C@H](CC2)[C@@H](CCC(=C)C(C)C)C)C"
"C04534","[C@H]1([C@H](O[C@H]([C@@H]([C@H]1O)O)O)CO)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COP(=O)(O)O"
"C04536","c12=CC3=NC(=Cc4n5c(c(c4C)C=C)C=C4N=C(C=c(n1[Mg]5)c(c2CCC(=O)OC)C)C(=C4C)C=C)C(=C3CCC(=O)O)C"
"C04546","[C@H](OC(=O)C[C@@H](C)O)(CC(=O)O)C"
"C04549","[C@@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)OP(=O)(O)O)O)O)O)OP(=O)(OC[C@@H](COC(=O)*)OC(=O)*)O"
"C04553","C1(=O)C=C(C(O1)CC(=O)O)C(=O)O"
"C04554","C12C3C([C@@]4([C@H](C[C@H]3O)C[C@@H](CC4)O)C)CC[C@@]1(C(CC2)[C@H](C)CCCC(C(=O)O)C)C"
"C04555","[C@H]12[C@H]([C@H]3[C@](CC2)(C(=O)CC3)C)CC=C2[C@@]1(CC[C@@H](C2)OS(=O)(=O)O)C"
"C04556","P(=O)(OCc1c(nc(nc1)C)N)(O)O"
"C04558","C1(OC(=O)C=C1C)CC(=O)O"
"C04559","C1(OC(=O)C=C1)(CC(=O)O)C"
"C04563","OP(=O)(O[C@@H]1[C@H](O)[C@H]([C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O)OP(=O)(O)O)O"
"C04573","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)NC(=O)C)O)O"
"C04574","C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(OP(=O)(O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C"
"C04575","C(=O)([C@@H]([C@H](CO)O)O)C(=O)C(=O)O"
"C04576","[C@H]1([C@H]([C@@H](O[C@@H]([C@H]1OC(=O)c1cc(c(c(c1)O)O)O)COC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O"
"C04577","C(=C\C/C=C\C/C=C\C=C\C(=O)CCCCC)\CCCC(=O)O"
"C04578","[C@@]123[C@@H]4[C@](C[C@@]([C@@H]1Nc1c2ccc(c1)OC)(C(=O)OC)O)(C=CCN4CC3)CC"
"C04579","OP(=O)(O[C@H]1[C@H](OP(=O)(O)O)[C@H]([C@H](O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O)OP(=O)(O)O)O"
"C04582","CSC[C@H]([C@H](C(=O)COP(=O)(O)O)O)O"
"C04590","P(=O)(OC[C@H](COC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)O)(O)O"
"C04592","[C@H]1(C(=CC=C[C@@H]1O)C)O"
"C04593","[C@@H]([C@@](C(=O)O)(C)O)(CC(=O)O)C(=O)O"
"C04596","C(=C(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl"
"C04598","*OC[C@H](COP(=O)(OCC[N+](C)(C)C)O)OC(=O)C"
"C04599","C1(=CCN(CC1)C)c1ccccc1"
"C04604","c1(c(cnc(c1O)C)C(=O)O)C(=O)O"
"C04608","O([C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)c1cc2c(c(=O)cc(o2)c2ccc(cc2)O)c(c1)O"
"C04613","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H](C(=O)[C@H](O1)C)O)NC(=O)C)O)O"
"C04618","C[C@H](CC(=O)S*)O"
"C04619","[C@H](CC(=O)S*)(CCCCCCC)O"
"C04620","CCCCC[C@H](CC(=O)S*)O"
"C04623","C(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C(Cl)(Cl)Cl"
"C04628","C[C@H]([C@H](NC(=O)CCCCCCS)C(=O)O)OP(=O)(O)O"
"C04630","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C)N)O)NC(=O)C)O)O"
"C04631","[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)OC(=C)C(=O)O)NC(=O)C)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O"
"C04633","C(CCCCCCCCCCCC)[C@H](CC(=O)S*)O"
"C04635","C(=C\*)\OC[C@H](COP(=O)(OCCN)O)O"
"C04637","P(=O)(O[C@H]1[C@@H]([C@H]([C@H]([C@H]([C@@H]1O)OP(=O)(OC[C@@H](COC(=O)*)OC(=O)*)O)O)O)OP(=O)(O)O)(O)O"
"C04638","P(=O)(OC[C@@H](OC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)COC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)(O)O"
"C04640","[C@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O)NC(=N)CNC=O"
"C04642","C(=C\C=C(/C(=O)O)\O)(/CC(=O)O)\C=O"
"C04646","n1(c2c(nc1)c(ncn2)S)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O"
"C04652","[C@@H]1([C@H](O[C@@H]([C@H]([C@@H]1OC(=O)C[C@@H](CCCCCCCCCCC)O)O)CO)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O)NC(=O)C[C@@H](CCCCCCCCCCC)O"
"C04666","[C@H]([C@@H](COP(=O)(O)O)O)(O)c1c[nH]cn1"
"C04672","C(C/C=C\C=C/1\[C@H](C/C=C\CC)O1)CCCCCC(=O)O"
"C04673","[C@H]1([C@H](C(=O)[C@H]([C@@H]([C@H]1O)O)O)O)NC(=N)N"
"C04675","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(CC(=O)O)(O)CCC=C(C)C"
"C04676","[C@@H]12[C@@]3(C(=CC(=O)CC3)CC[C@H]1[C@H]1[C@](CC2)(OC(=O)CC1)C)C"
"C04677","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)c(c(nc1)C(=O)N)N"
"C04688","[C@@H](CCCCCCCCCCC)(CC(=O)S*)O"
"C04690","C(=C\NC(=O)C)(/C(C(=O)O)CO)\C(=O)O"
"C04691","[C@@H]([C@@H](COP(=O)(O)O)O)([C@@H](CC(=O)C(=O)O)O)O"
"C04702","[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O[C@@H](C(=O)N[C@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C)C(=O)N[C@@H](C(=O)O)C)C(=O)O)C)C)NC(=O)C)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O"
"C04706","C1(=C/C(=C\C(=O)O)/OC1=O)Cl"
"C04712","N12[C@@H]([C@@H](C2=O)NC(=O)CCCC(=O)C(=O)O)SCC(=C1C(=O)O)COC(=O)C"
"C04713","n1(c2c(nc1)c(ncn2)NCC=C(C)C)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O"
"C04717","OC(=O)CCCCCCC/C=C\C=C\[C@H](CCCCC)OO"
"C04718","C12(OC(C(CC2)CC(=O)O1)(C)C)C"
"C04722","C12C3[C@@](C(CC3)[C@@H](CCCC(C(=O)O)C)C)([C@H](CC1[C@@]1([C@H](C[C@H]2O)C[C@@H](CC1)O)C)O)C"
"C04729","C1(=C/C(=C/C(=O)O)/OC1=O)Cl"
"C04732","[nH]1c(=O)[nH]c(c(c1=O)N)NC[C@@H]([C@@H]([C@@H](CO)O)O)O"
"C04734","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)c(c(nc1)C(=O)N)NC=O"
"C04737","[C@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)(NC(=O)*)CO[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@@H]([C@H](O[C@H]3O[C@@H]([C@@H]([C@@H]([C@H]3O)O)O)CO)[C@@H]([C@H]2O)O)CO)[C@@H]([C@H]1O)O)CO"
"C04738","[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O"
"C04742","C(=C\C/C=C\C/C=C\C=C\[C@H](CCCCC)O)\CCCC(=O)O"
"C04748","N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)OC)CSC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)*)*"
"C04751","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)c(c(nc1)C(=O)O)N"
"C04752","c1(COP(=O)(OP(=O)(O)O)O)c(nc(nc1)C)N"
"C04756","C(COP(=O)(OCCN)O)(CO/C=C\*)OC(=O)*"
"C04767","[C@H]1([C@H]([C@@H]([C@H]([C@@H]([C@H]1O)OP(=O)(O)O)NC(=N)N)O)NC(=N)N)O[C@H]1[C@@H]([C@]([C@@H](O1)C)(CO)O)O"
"C04773","c1(c(cnc(c1O)C)C(=O)O)CO"
"C04778","O1[C@@H]([C@@H]([C@@H]([C@H]1COP(=O)(O)O)O)O)n1c2c(cc(c(c2)C)C)nc1"
"C04780","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CCCCCCCC(=O)O"
"C04783","C1(=C[C@@H]([C@@H](C=C1C(=O)O)O)O)C(=O)O"
"C04785","[C@@H](/C=C/C=C\CCCCCCCC(=O)O)(C/C=C\CC)OO"
"C04793","[C@@H]12[C@@](C(=O)CC2)(CCC(=O)[C@H]1CCc1c(c(ccc1C)O)O)C"
"C04796","C(=C\C=O)(/C[C@@H](C(=O)O)N)\C=C(/C(=O)O)\O"
"C04797","C(=C\C=C(\O)/C(=O)O)(/C[C@@H](C(=O)O)N)\C=O"
"C04805","[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCCC)(CCCC(=O)O)O"
"C04807","c12c(NCC(=N1)COP(=O)(OP(=O)(O)O)O)nc(nc2O)N"
"C04822","C(=C\C[C@H](/C=C/C=C\C/C=C\CCCCC)OO)\CCCC(=O)O"
"C04823","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)c(c(nc1)C(=O)N[C@@H](CC(=O)O)C(=O)O)N"
"C04824","[C@H]1([C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O"
"C04831","c12c(OC(C(=O)N1O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)cc(cc2)OC"
"C04832","C(S(=O)(=O)O)CSSCCCCCCC(=O)N[C@@H]([C@H](OP(=O)(O)O)C)C(=O)O"
"C04844","[C@@H]12[C@@](C(=O)CC2)(CCC(=O)[C@H]1CCC(=O)/C(=C/C=C(\O)/C(=O)O)/C)C"
"C04851","[C@@H]1([C@H](O[C@@H]([C@H]([C@@H]1O[C@@H](C(=O)N[C@H](C(=O)N[C@H](CCC(=O)N[C@H](C(=O)N[C@H](C)C(=O)N[C@@H](C(=O)O)C)CCCCN)C(=O)O)C)C)O)CO)OP(=O)(OP(=O)(OC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)/C)/C)/C)/C)/C)/C)O)O)NC(=O)C"
"C04853","C(=C\C=C\C=C\[C@@H](C/C=C\CCCCCO)O)\[C@H](CCCC(=O)O)O"
"C04858","c1(cc(c2c(c1)oc(cc2=O)c1ccc(cc1)O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O[C@H]1[C@@H]([C@@](CO1)(O)CO)O)O)O)CO"
"C04872","[C@]1(O[C@H]([C@@H]([C@H](C1)O)NC(=O)C)[C@@H]([C@@H](CO)O)O)(O[C@H]1[C@H]([C@H](O[C@H]([C@@H]1O)OC[C@@H](COC(=O)*)OC(=O)*)CO)O)C(=O)O"
"C04874","c12c(N=C(CN1)[C@@H]([C@@H](CO)O)O)c(=O)[nH]c(n2)N"
"C04877","[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O[C@H](C)C(=O)N[C@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@H](C(=O)O)N)C(=O)O)C(=O)O)C)NC(=O)C)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O"
"C04882","[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O[C@H](C)C(=O)N[C@H](C(=O)N[C@H](CCC(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O)C)C)CCC[C@H](C(=O)O)N)C(=O)O)C)NC(=O)C)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O"
"C04895","c12c(N=C(CN1)[C@@H]([C@@H](COP(=O)(OP(=O)(OP(=O)(O)O)O)O)O)O)c(=O)[nH]c(n2)N"
"C04896","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)c(c(nc1)C(=O)N)/N=C/N[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O"
"C04900","c12c(c(=O)cc(o1)c1cc(c(cc1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C(=O)O)O)c(cc(c2)O[C@H]1[C@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)[C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O"
"C04911","[C@@]1(O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC[C@@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)NC(=O)*)CO)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@@H]2O[C@@H]([C@@H]([C@@H]([C@H]2O)O)O)CO)NC(=O)C)(O[C@H]([C@@H]([C@H](C1)O)NC(=O)C)[C@@H]([C@H](O)CO)O)C(=O)O"
"C04916","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP(=O)(O)O)c(c(nc1)C(=O)N)/N=C/NCC(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O"
"C04919","[C@H]1([C@H]([C@@H](O[C@@H]([C@H]1OP(=O)(O)O)CO)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)OC(=O)C[C@@H](CCCCCCCCCCC)O"
"C04932","[C@H]1([C@H]([C@@H](O[C@@H]([C@H]1O)CO)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)OC(=O)C[C@@H](CCCCCCCCCCC)O"
"C05005",
"C05011","C(=C(\c1ccccc1)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccc(cc1)O"
"C05042","P(=O)(CCC(C(=O)O)N)(C)O"
"C05073","c12c(ccc(c1C)O[C@@H]1OC([C@@H]([C@H]([C@H]1O)OC(=O)c1ccc([nH]1)C)OC)(C)C)c(c(c(=O)o2)NC(=O)c1c(c(c[nH]1)C(=O)Nc1c(c2c(oc1=O)c(c(cc2)O[C@H]1[C@@H]([C@@H]([C@H](C(O1)(C)C)OC)OC(=O)c1ccc([nH]1)C)O)C)O)C)O"
"C05080","c12c(c(c(c(=O)o2)NC(=O)c2cc(c(cc2)O)CC=C(C)C)O)ccc(c1C)O[C@H]1[C@@H]([C@@H]([C@H](C(O1)(C)C)OC)OC(=O)N)O"
"C05102","*CC(C(=O)O)O"
"C05103","C12=C([C@@]3([C@@H](CC2)C([C@H](CC3)O)C)C)CC[C@]2(C1CCC2[C@@H](CCC=C(C)C)C)C"
"C05107","[C@H]12C3=CC=C4[C@@]([C@H]3CC[C@@]1([C@H](CC2)[C@@H](CCC=C(C)C)C)C)(CC[C@@H](C4)O)C"
"C05108","C12=C(C3[C@](CC2)([C@H](CC3)[C@@H](CCC=C(C)C)C)C)CC[C@@H]2[C@@]1(CC[C@@H](C2(C)C)O)C"
"C05109","C12=C([C@@]3([C@@H](CC2)C([C@H](CC3)O)(C)C)C)CC[C@]2([C@]1(CC[C@@H]2[C@@H](CCCC(C)C)C)C)C"
"C05113","c12/C=C/3\N=C(C=C3)/C=c/3\[nH]/c(=C\C4=N/C(=C\c([nH]1)cc2)/C=C4)/cc3"
"C05122","C12[C@H]3[C@@]([C@H](CC3)[C@@H](CCC(=O)NCCS(=O)(=O)O)C)([C@H](C[C@@H]1[C@@]1([C@H](C[C@H]2O)C[C@@H](CC1)O)C)O)C"
"C05123","C(S(=O)(=O)O)CO"
"C05125","[n+]1(c(sc(c1C)CCOP(=O)(OP(=O)(O)O)O)C(C)O)Cc1c(nc(nc1)C)N"
"C05127","n1(cc(nc1)CCN)C"
"C05130","c1nc(c[nH]1)CC=O"
"C05131","[C@@H]1(n2cc(nc2)CC(=O)O)O[C@@H]([C@H]([C@H]1O)O)CO"
"C05133","C1(CC(=O)O)C(=O)N=CN1"
"C05135","c1nc(c[nH]1)CCNC(=O)C"
"C05138","[C@H]12C3[C@@]([C@](CC3)(C(=O)C)O)(CC[C@@H]1[C@@]1(C(=CC2)C[C@H](CC1)O)C)C"
"C05139","[C@@H]12[C@@H]([C@@]3(C(=CC2)C[C@H](CC3)O)C)CC[C@]2([C@H]1C[C@H](C2=O)O)C"
"C05140","[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)CC2)C)CC[C@]2([C@H]1C[C@H](C2=O)O)C"
"C05141","[C@H]12[C@H]3[C@@H](c4c(CC3)cc(cc4)O)CC[C@@]1([C@H]([C@@H](C2)O)O)C"
"C05143","[C@@H]1(O[C@@H](c2ccc(cc2)O)C#N)O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO"
"C05144","[C@H]1([C@H]([C@@H]([C@@H]([C@@H](O1)*)O)O)O*)C(=O)O"
"C05147","C1C[C@@H]([C@H](N1)C(=O)O)O"
"C05158","c1(ccccc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)/C=C/C(=O)O"
"C05161","C(CCC(C)N)(C(=O)O)N"
"C05165","C1(=C(CCC(=O)C1)N)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C05172","P(=O)(O)(O)[SeH]"
"C05174","[C@H]12c3c(CCN1Cc1c(C2)ccc2c1OCO2)cc(c(c3)O)OC"
"C05175","[C@H]12c3c(cc4c(c3)OCO4)CCN1Cc1c(C2)ccc2c1OCO2"
"C05176","c12[C@H](Cc3ccc(cc3)O)N(CCc1cc(c(c2)O)OC)C"
"C05177","c12[C@@H](Cc3cc(Oc4ccc(cc4)C[C@H]4c5c(cc(c(c5)O)OC)CCN4C)c(cc3)O)N(CCc1cc(c(c2)O)OC)C"
"C05178","c12[C@@H](Cc3cc(c(cc3)OC)O)N(CCc1cc(c(c2)O)OC)C"
"C05179","[C@@]123c4c(C[C@H](C1=CC(=O)C(=C2)OC)N(CC3)C)ccc(c4O)OC"
"C05189","c12c3c(ccc1CC(=O)c1c(CCN(C2)C)cc2c(c1)OCO2)OCO3"
"C05190","c12c3c(ccc1CC(=O)c1c(CC(N(C2)C)O)cc2c(c1)OCO2)OCO3"
"C05191","c12c3c(CN(c1c1c(cc2)cc2c(c1)OCO2)C)c1c(cc3)OCO1"
"C05193","c12c3c(CN(c1c1c(c(c2)O)cc2c(c1)OCO2)C)c1c(cc3OC)OCO1"
"C05194","c12c3c(CN(c1c1c(cc2)cc2c(c1)OCO2)C)c1c(cc3OC)OCO1"
"C05200","C(/C=C(/CCC=C(C)C)\C)C/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/Cc1cc(cc(c1O)O)C(=O)O)/C)/C)/C)/C"
"C05202","c12[C@H](Cc3cc(c(cc3)O)O)N(CCc1cc(c(c2)O)OC)C"
"C05212","*OC[C@H](COP(=O)(OCC[N+](C)(C)C)O)OC(=O)*"
"C05220","[C@@]123c4c(C[C@H](C1=C[C@@H](C(=C2)OC)O)N(CC3)C)ccc(c4O)OC"
"C05223","C(CCC(=O)S*)CCCCCCCC"
"C05231","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)[C@H](C)N"
"C05235","C(=O)(CO)C"
"C05239","c1c([nH]cn1)N"
"C05243","c12[C@@H](Cc3ccc(cc3)O)N(CCc1cc(c(c2)O)OC)C"
"C05247","c12c3c(CN(c1c1c(cc2)cc2c(c1)OCO2)C)c1c(cc3O)OCO1"
"C05258","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)[C@H](CCCCCCCCCCCCC)O"
"C05259","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCCCCCCCCCCC"
"C05260","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)[C@H](CCCCCCCCCCC)O"
"C05261","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC(=O)CCCCCCCCCCC"
"C05262","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C[C@H](CCCCCCCCC)O"
"C05263","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC(=O)CCCCCCCCC"
"C05264","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C[C@H](CCCCCCC)O"
"C05265","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC(=O)CCCCCCC"
"C05266","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C[C@H](CCCCC)O"
"C05267","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC(=O)CCCCC"
"C05268","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C[C@H](CCC)O"
"C05269","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC(=O)CCC"
"C05270","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCCC"
"C05271","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)/C=C/CCC"
